source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4252502065373003776,282.7454532371488,-6.326163742471714,17.559374,17.854786,16.482748
4252499552740270336,282.79503404143134,-6.320461884702273,18.747301,18.879366,17.172401
4252499076075131264,282.79208435845123,-6.34900810901968,20.261185,,
4252502168452220416,282.75659357236844,-6.316114859457939,19.334372,18.53783,18.081583
4252502060994791808,282.7397018144753,-6.32172180500159,14.084452,14.496042,13.489761
4252499591471422208,282.8163905683575,-6.305033634910289,18.548069,,
4252502129743036544,282.77203531414494,-6.319758799644505,18.306292,18.853838,17.14445
4252502202811958272,282.76339201371184,-6.310179718699071,17.713203,18.259806,16.77035
4252502031013268352,282.73389563313754,-6.33609090781039,17.527176,17.549004,16.2495
4252499488391994368,282.812379460518,-6.33039229639902,20.328833,,
4252499488396134016,282.81559674068694,-6.3268526569485095,20.478752,21.111465,19.179792
4252496426030762880,282.7096155959334,-6.3255792301524885,18.120712,18.71781,17.123787
4252499488391994496,282.8126658459553,-6.330631783245732,19.276953,19.274818,17.964193
4252499179154561280,282.7936760769255,-6.325837419420643,18.466885,18.38333,17.173702
4252502202811905664,282.7717257386107,-6.307918866900774,20.129486,,
4252499694550730624,282.81660427497883,-6.2953111262893655,19.514633,,
4252499522751732992,282.8247233948829,-6.319974052792407,19.554493,19.322578,18.272978
4252501206412918912,282.8469463372552,-6.275391191993632,15.374792,16.412601,14.300787
4252502095354531328,282.76171664070097,-6.32357310388918,12.810519,12.996849,12.470788
4252499552733890560,282.80527763405456,-6.320363015814628,12.918941,13.121345,12.554688
4252499625830947328,282.83790183957075,-6.308287734985969,19.420782,,
4252498968628766976,282.77256936036827,-6.349565944080903,15.715119,16.241749,14.960583
4252501202011772032,282.84708348928507,-6.280077286630579,17.67183,18.341583,16.667553
4252499728944170240,282.8336365155815,-6.286530971079254,18.109247,,
4252499625830947712,282.8404942357842,-6.3060798055874185,19.563154,,
4252499591471416320,282.81639719995803,-6.306396072655256,20.333656,19.586706,18.522923
4252499694584432512,282.81672738343497,-6.300878009734441,15.472677,16.003393,14.72532
4252501206379120512,282.8461535071941,-6.27995701781605,19.455376,19.28671,17.92822
4252499518380534144,282.8258975346188,-6.32013409432709,17.457413,18.208513,16.542389
4252501996653316992,282.7538488675434,-6.338961161900378,19.710972,19.350101,18.17986
4252501206412919808,282.8470396515802,-6.274782395130014,19.12442,,
4252499625830947072,282.8309903462436,-6.314582698100095,19.694485,,
4252499694550630912,282.8282237942078,-6.295990735353464,20.077776,19.918543,18.46696
4252499660190685568,282.84237127132593,-6.3045042774179825,19.756302,19.830534,18.42635
4252501202011772800,282.83318437324345,-6.279231951301176,16.196585,16.618885,15.5380125
4252501206379223424,282.8359725284517,-6.277913690478149,20.39901,19.39823,18.648067
4252499488391988736,282.8104325912507,-6.333580350581453,20.851545,,
4252499415325031296,282.8378215639205,-6.313846555020225,18.110786,18.68089,16.950985
4252502134092366464,282.77759573364693,-6.309406841102797,19.682215,19.677328,18.237387
4252499110434867072,282.8015134870338,-6.340288466021031,17.930387,18.217257,16.592642
4252499557111676928,282.80487539972216,-6.316768283497036,19.834814,,
4252502031013268480,282.7324650590634,-6.3373309878825586,19.89778,19.658178,18.455938
4252501206379224960,282.8345777044135,-6.278993462335153,18.01173,18.381313,17.141443
4252501206379119488,282.8466955945392,-6.279650304252326,20.307257,,
4252499694550624512,282.82929213604586,-6.295854713488309,20.310251,19.454103,18.091467
4252499076079279616,282.79509984492455,-6.341816059904823,20.347652,,
4252499144794921984,282.7729553906758,-6.3334109739635105,20.17861,19.788374,18.61415
4252501206379119360,282.8449073282637,-6.280906677554962,15.423133,15.899535,14.567473
4252499660190679680,282.84737600273854,-6.300796006935641,20.554455,,
4252502099732532608,282.76286554828505,-6.330248745699904,20.283699,,
4252499660190679808,282.8468387266843,-6.300852446670135,20.953089,20.125135,
4252499144794922624,282.7703619376706,-6.335648753266842,20.278746,,
4252499557111680000,282.80044532145115,-6.319970602333741,17.325945,17.321476,15.882778
4252499041719753856,282.7686272144958,-6.338780158539699,20.80509,,
4252501240738860928,282.85101384747554,-6.275464086280674,19.9507,,
4252499144794819840,282.7824978962118,-6.335919861572299,19.906902,19.46226,18.505173
4252499110434865536,282.80764394699725,-6.335804523122395,17.70257,18.129482,16.85148
4252502099732633856,282.75984331878624,-6.324324212322004,19.591833,19.641531,18.525106
4252498869916656128,282.79698848275444,-6.349085507554312,18.410084,18.921812,17.186085
4252499076075127040,282.79367978257216,-6.348148217875556,20.012432,19.367374,18.69005
4252502031013279232,282.7362278479096,-6.332763398876977,18.954086,19.054081,17.984467
4252499694550633088,282.82488100857074,-6.2986514092649735,19.345758,,17.386261
4252502065373017472,282.74388897165244,-6.3260539503023985,20.162754,18.78552,18.383009
4252499041715604352,282.77136230375925,-6.345774627251408,19.158659,19.19873,17.70123
4252499557111679744,282.8049054442178,-6.316218877284259,17.643627,18.024267,16.683123
4252499488391990912,282.8118941759833,-6.3316523643062705,18.85667,19.165215,17.73631
4252499041749405696,282.7610759750971,-6.34878397086365,19.156036,19.337265,17.830729
4252499728910370944,282.83326919011546,-6.291259406492896,19.67911,18.724083,18.524353
4252499694550632832,282.82419170060064,-6.298566090388981,19.233313,,
4252499728910382080,282.83060515620724,-6.292858732599974,20.109425,,
4252499488391990528,282.81899576653973,-6.325486238980676,20.456078,,
4252499728910382592,282.8294650381325,-6.293511493683452,19.491177,19.628685,18.208923
4252499484020808320,282.81115424234645,-6.320362143076169,15.888004,16.91071,14.827168
4252499552740285184,282.79222104679707,-6.315938395428819,18.994297,18.943863,17.727787
4252499557111691008,282.8024910146616,-6.316832458120073,19.401861,18.775854,17.551598
4252499694550734464,282.81432277957987,-6.297060492852472,18.469099,18.708805,17.40504
4252499179188360320,282.7884741043117,-6.32316313312193,19.288677,,
4252499728910382208,282.83016882467217,-6.292983041331282,17.9194,18.048433,16.55294
4252499041719752448,282.7640700285811,-6.347114570231063,20.33323,,18.048697
4252499591471428864,282.8087568543214,-6.311787483309759,20.001421,,
4252499110434867200,282.80206857785,-6.34061126378203,17.933928,17.8415,16.420347
4252499625830942848,282.8318532914572,-6.314313885045529,20.42761,19.840784,19.110935
4252502031013281280,282.7312610600936,-6.337033233088687,19.611183,,
4252499728910381696,282.83016191184385,-6.292662515482444,19.057873,,
4252502164084441216,282.7559481990166,-6.315953790430999,17.63859,18.672972,16.423517
4252502168454782080,282.75645625953086,-6.318450739426548,20.320236,,
4252499522751739776,282.8265119778703,-6.31795178714751,20.809563,,
4252499071697560704,282.7826246189161,-6.3418014916899,13.315158,13.593776,12.873675
4252502168452234624,282.75676276744866,-6.314538603641352,18.33688,18.730206,17.27276
4252499179188349312,282.7931696449922,-6.326235619859747,19.090927,18.948229,17.531136
4252499728910381952,282.82963973012306,-6.2912897122866624,19.554327,,
4252502065373019264,282.73918725372,-6.330071920688431,19.842001,,
4252499488392001280,282.81659315740256,-6.326430081119651,20.152674,19.782236,18.661575
4252499625831031040,282.8265433283747,-6.309837438003668,19.010088,,
4252499591471427584,282.8105466845876,-6.310347389045629,19.631645,19.686636,18.463644
4252502031013228928,282.7308400654931,-6.3429005453222125,17.887798,,
4252499557111689344,282.80129215626823,-6.318489935413546,19.117405,19.402073,17.823238
4252499076075140224,282.7905572039034,-6.349418859132416,19.163406,19.607468,18.102526
4252502134092360704,282.76937442369774,-6.31730497051805,18.98181,19.215027,17.886744
4252499110434878720,282.8001953011711,-6.340920426428937,19.54683,,
4252499110434955776,282.8019807084215,-6.331508219424795,18.861391,19.106468,17.712929
4252499625830953472,282.8390646952853,-6.306708229101422,19.876444,,
4252499179188350208,282.7910508423119,-6.327623271735732,17.736965,18.166271,16.755943
4252499144828611968,282.7814007453401,-6.335933623028218,20.081106,19.710066,18.545742
4252499621486862592,282.83703367594546,-6.3119659191204605,19.979582,,
4252502134092283008,282.7815435670097,-6.313651002815136,20.226192,,
4252499037337824768,282.7681418647595,-6.349634235278588,13.806574,13.999686,13.299645
4252499694550720512,282.81323783574595,-6.299308535348547,17.593344,18.020765,16.6051
4252501240738873088,282.84975360076163,-6.274705433809971,16.977127,,
4252499110468853120,282.7951541975878,-6.335184463881225,17.823278,18.39038,16.971579
4252499110434881152,282.80382528922763,-6.337530665944156,17.687502,17.940855,16.291636
4252499144794907520,282.76967286211084,-6.337879550276613,18.400236,18.965523,17.432905
4252501957915584896,282.73588587325435,-6.345699706040308,13.444369,13.722426,12.993261
4252499557145469184,282.8002280015745,-6.321408023669823,16.891312,17.375082,15.997155
4252499110434881024,282.80346308533063,-6.337523880678709,18.534313,,
4252499655823542912,282.84238930086826,-6.3011757746713055,17.991516,18.65023,16.893137
4252501992308384256,282.7541186267855,-6.339323925662151,19.678085,19.16158,17.925045
4252499557111691392,282.80088708737435,-6.3187134548073445,19.791985,,
4252499694550644992,282.82476810082255,-6.297587882577921,18.29278,18.602497,17.309038
4252499488392002816,282.80816923376307,-6.333746832510978,20.376556,19.737238,18.54447
4252501957948645504,282.7437203359312,-6.3371364622404736,19.044329,19.096558,17.796028
4252499591471425152,282.80998661985484,-6.3111488029460645,18.588987,19.16028,17.476194
4252502031013276032,282.72994302920125,-6.338740631088649,19.040157,18.959028,17.744766
4252499522751740544,282.82384751746423,-6.319978460906916,19.258188,19.10706,17.85968
4252499728944162048,282.83801333494125,-6.287561369911936,15.973556,16.496485,15.2497225
4252499591471425408,282.80942947242636,-6.311570360613165,18.49721,18.758879,17.501774
4252499110434880384,282.8053431308479,-6.336906683788772,20.209684,,
4252502099732538624,282.771690250687,-6.323250210589638,20.324183,,
4252501133291652608,282.8522102247723,-6.288110057560286,19.133587,19.516127,17.898132
